node_id,title,author,year,translator,original_work,publisher,publication_detail,link_text_1,link_url_1,link_text_2,link_url_2,link_text_3,link_url_3,others
1,芸術表現の創造と鑑賞，およびその学びの支援,"岡田 猛, 縣 拓充",2020,,,,教育心理学年報,,https://www.jstage.jst.go.jp/article/arepj/59/0/59_144/_article/-char/ja,,,,,
2,教養教育における「創造活動に関する知」を提供する授業の提案「創作プロセスに触れること」の教育的効果,"縣 拓充, 岡田 猛",2009,,,,教育心理学年報,,https://www.jstage.jst.go.jp/article/jjep/57/4/57_4_503/_article/-char/ja/,,,,,
3,「創作の過程や方法を知る」美術展示及びワークショップの効果,"縣 拓充, 岡田 猛",2010,,,,美術教育学：美術科教育学会誌,,https://www.jstage.jst.go.jp/article/aaej/31/0/31_KJ00006203453/_article/-char/ja,,,,,
4,創造の主体者としての市民を育む：「創造的教養」を育成する意義とその方法,"縣 拓充, 岡田 猛",2013,,,,日本認知科学会,,https://www.jstage.jst.go.jp/article/jcss/20/1/20_27/_article/-char/ja/,,,,,
5,Arts（美術）の役割や位置付けを明確にしたSTEAM教育の在り方,上野 行一,2020,,,,美術による学び,,https://www.jstage.jst.go.jp/article/artmanabi/1/3/1_202003/_article/-char/ja,,,,,
6,美術初心者は絵画から何を読み取るか？ ―具象絵画鑑賞時の発話による探索的な検討,田中 吉史,2018,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/25/1/25_26/_article/-char/ja,,,,,
7,ワークショップ型授業における教授・学習活動の対話的展開過程,新原 将義,2017,,,,教育心理学研究,,https://www.jstage.jst.go.jp/article/jjep/65/1/65_120/_article/-char/ja,,,,,
8,芸術行動の至近要因と究極要因,岡ノ谷 一夫,2013,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/20/1/20_19/_article/-char/ja,,,,,
9,芸術表現の捉え方についての一考察,岡田 猛,2013,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/20/1/20_10/_article/-char/ja,,,,,
10,演劇の熟達化,安藤 花恵,2003,,,,心理学研究,,https://www.jstage.jst.go.jp/article/jjpsy1926/73/4/73_4_373/_article/-char/ja,,,,,
11,教授・学習研究の動向,秋田 喜代美,1998,,,,教育心理学年報,,https://www.jstage.jst.go.jp/article/arepj1962/37/0/37_94/_article/-char/ja,,,,,
12,現代芸術家の創造的熟達の過程,"横地 早和子, 岡田 猛",2007,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/14/3/14_3_437/_article/-char/ja,,,,,
13,学問コミュニティにおける研究の妥当性境界の構築過程,"山内 保典, 岡田 猛",2003,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/10/3/10_3_418/_article/-char/ja,,,,,
14,STEAM教育としての協調的な音楽創作活動とその評価の提案,"遠山 紗矢香, 竹内 勇剛",2018,,,,ヒューマンインタフェース学会論文誌,,https://www.jstage.jst.go.jp/article/his/20/4/20_397/_article/-char/ja,,,,,
15,絵画鑑賞における認知的制約とその緩和,"田中 吉史, 松本 彩季",2013,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/20/1/20_130/_article/-char/ja,,,,,
16,ブレイクダンスにおける技術学習プロセスの複雑性と創造性,"清水 大地, 岡田 猛",2015,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/22/1/22_203/_article/-char/ja,,,,,
17,話芸鑑賞時の自発的なまばたきの同期,"野村 亮太, 岡田 猛",2014,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/21/2/21_226/_article/-char/ja,,,,,
18,コンテンポラリーダンスにおける振付創作過程の解明,"中野 優子, 岡田 猛",2015,,,,舞踊學,,https://www.jstage.jst.go.jp/article/buyougaku/2015/38/2015_05/_article/-char/ja,,,,,
19,絵画鑑賞はどのように表現への触発を促進するのか？,"石黒 千晶, 岡田 猛",2019,,,,心理学研究,,https://www.jstage.jst.go.jp/article/jjpsy/90/1/90_90.17056/_article/-char/ja,,,,,
20,芸術学習と外界や他者による触発,"石黒 千晶, 岡田 猛",2017,,,,心理学研究,,https://www.jstage.jst.go.jp/article/jjpsy/88/5/88_88.16042/_article/-char/ja,,,,,
21,創造的教養を育む芸術教育実践：日常の写真活動に及ぼす効果,"石黒 千晶, 岡田 猛",2016,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/23/3/23_221/_article/-char/ja,,,,,
22,他者作品の模写による描画創造の促進,"石橋 健太郎, 岡田 猛",2010,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/17/1/17_1_196/_article/-char/ja,,,,,
23,対話型鑑賞における鑑賞者同士の学習支援に関する研究,"平野 智紀, 三宅 正樹",2015,,,,美術教育学：美術科教育学会誌,,https://www.jstage.jst.go.jp/article/aaej/36/0/36_KJ00010238414/_article/-char/ja,,,,,
24,演劇創作におけるシステムダイナミクス,"後安 美紀, 辻田 勝吉",2007,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/14/4/14_4_509/_article/-char/ja,,,,,
25,音楽鑑賞における演奏者の映像の効果,"吉野 巌, 山田 健一, 瀧ヶ平 悠史",2014,,,,教育心理学研究,,https://www.jstage.jst.go.jp/article/jjep/62/2/62_143/_article/-char/ja,,,,,
26,美術家の作品コンセプトの生成過程に関するケーススタディ：写真情報の利用と概念生成との関係に着目して,"高木 紀久子, 岡田 猛, 横地 早和子",2013,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/20/1/20_59/_article/-char/ja,,,,,
27,作品提示メディアの違いが美術鑑賞学習に与える影響の一検討 : 大型図版と手元資料とパソコン画面の比較,"臼井 昭子, 横山 ひとみ, 北村 喜文",2014,,,,日本教育工学会論文誌,,https://www.jstage.jst.go.jp/article/jjet/38/Suppl./38_KJ00009846853/_article/-char/ja,,,,,
28,中学校美術科の鑑賞の授業におけるVR 教材の活用に関する一検討,"臼井 昭子, 佐藤 克美, 堀田 龍也",2018,,,,日本教育工学会論文誌,,https://www.jstage.jst.go.jp/article/jjet/42/Suppl./42_S42053/_article/-char/ja,,,,,
29,デッサンのダイナミクス,"野中 哲士, 西崎 実穂, 佐々木 正人",2010,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/17/4/17_4_691/_article/-char/ja,,,,,
30,文楽人形の協調操作における動作特徴の抽出,"櫻 哲郎, 森田 寿郎, 植田 一博",2009,,,,ヒューマンインタフェース学会論文誌,,https://www.jstage.jst.go.jp/article/his/11/3/11_255/_article/-char/ja,,,,,
31,一枚のデッサンが成立する過程,"西崎 実穂, 野中 哲士, 佐々木 正人",2011,,,,質的心理学研究,,https://www.jstage.jst.go.jp/article/jaqp/10/1/10_64/_article/-char/ja,,,,,
32,現代美術家の作品コンセプト生成過程の解明,"髙木 紀久子, 河瀬 彰宏, 横地 早和子, 岡田 猛",2015,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/22/2/22_235/_article/-char/ja,,,,,
33,総合大学における省察的芸術表現教育実践,"石黒 千晶, 八桁 健, 小澤 基弘, 岡田 猛",2016,,,,美術教育学研究,,https://www.jstage.jst.go.jp/article/uaesj/48/1/48_49/_article/-char/ja,,,,,
34,芸術を専攻しない学生のための省察的表現教育実践,"工藤 彰, 八桁 健, 小澤 基弘, 岡田 猛, 萩生田 伸子",2017,,,,美術教育学研究,,https://www.jstage.jst.go.jp/article/uaesj/49/1/49_145/_article/-char/ja,,,,,
