node_id,author,year,title,publisher,translated_title,translated_author
1,著者A,1970,文献A,A社,文献A(翻訳タイトル),翻訳者A
2,著者B,1972,文献B,B社,文献B(翻訳タイトル),翻訳者B
3,著者C,1974,文献C,C社,文献C(翻訳タイトル),翻訳者C
4,著者D,1976,文献D,D社,文献D(翻訳タイトル),翻訳者D
5,著者E,1978,文献E,E社,文献E(翻訳タイトル),翻訳者E
6,著者F,1980,文献F,F社,文献F(翻訳タイトル),翻訳者F
7,著者G,1982,文献G,G社,文献G(翻訳タイトル),翻訳者G
8,著者H,1984,文献H,H社,文献H(翻訳タイトル),翻訳者H
9,著者I,1986,文献I,I社,文献I(翻訳タイトル),翻訳者I
10,著者J,1988,文献J,J社,文献J(翻訳タイトル),翻訳者J
11,著者K,1990,文献K,K社,文献K(翻訳タイトル),翻訳者K
12,著者L,1992,文献L,L社,文献L(翻訳タイトル),翻訳者L
13,著者M,1994,文献M,M社,文献M(翻訳タイトル),翻訳者M
14,著者N,1996,文献N,N社,文献N(翻訳タイトル),翻訳者N
15,著者O,1998,文献O,O社,文献O(翻訳タイトル),翻訳者O
16,著者P,2000,文献P,P社,文献P(翻訳タイトル),翻訳者P
17,著者Q,2002,文献Q,Q社,文献Q(翻訳タイトル),翻訳者Q
18,著者R,2004,文献R,R社,文献R(翻訳タイトル),翻訳者R
19,著者S,2006,文献S,S社,文献S(翻訳タイトル),翻訳者S
20,著者T,2008,文献T,T社,文献T(翻訳タイトル),翻訳者T
21,著者U,2010,文献U,U社,文献U(翻訳タイトル),翻訳者U
22,著者V,2012,文献V,V社,文献V(翻訳タイトル),翻訳者V
23,著者W,2014,文献W,W社,文献W(翻訳タイトル),翻訳者W
24,著者X,2016,文献X,X社,文献X(翻訳タイトル),翻訳者X
25,著者Y,2018,文献Y,Y社,文献Y(翻訳タイトル),翻訳者Y
26,著者Z,2020,文献Z,Z社,文献Z(翻訳タイトル),翻訳者Z
