source,source_title,target,target_title
1,文献A,22,文献V
1,文献A,25,文献Y
1,文献A,14,文献N
1,文献A,18,文献R
2,文献B,12,文献L
2,文献B,26,文献Z
2,文献B,16,文献P
2,文献B,4,文献D
3,文献C,22,文献V
3,文献C,1,文献A
3,文献C,4,文献D
3,文献C,5,文献E
3,文献C,16,文献P
4,文献D,23,文献W
4,文献D,10,文献J
4,文献D,7,文献G
4,文献D,3,文献C
4,文献D,6,文献F
5,文献E,4,文献D
5,文献E,25,文献Y
5,文献E,15,文献O
5,文献E,13,文献M
5,文献E,20,文献T
6,文献F,23,文献W
6,文献F,9,文献I
6,文献F,24,文献X
6,文献F,13,文献M
7,文献G,6,文献F
7,文献G,24,文献X
7,文献G,3,文献C
7,文献G,19,文献S
7,文献G,4,文献D
8,文献H,10,文献J
8,文献H,7,文献G
8,文献H,12,文献L
8,文献H,22,文献V
8,文献H,17,文献Q
9,文献I,3,文献C
9,文献I,13,文献M
9,文献I,7,文献G
9,文献I,17,文献Q
9,文献I,10,文献J
10,文献J,15,文献O
10,文献J,3,文献C
10,文献J,6,文献F
10,文献J,1,文献A
11,文献K,26,文献Z
11,文献K,22,文献V
12,文献L,20,文献T
12,文献L,18,文献R
12,文献L,25,文献Y
12,文献L,2,文献B
12,文献L,3,文献C
13,文献M,6,文献F
13,文献M,14,文献N
13,文献M,7,文献G
13,文献M,10,文献J
14,文献N,10,文献J
15,文献O,5,文献E
15,文献O,14,文献N
15,文献O,7,文献G
15,文献O,2,文献B
15,文献O,19,文献S
16,文献P,1,文献A
16,文献P,15,文献O
16,文献P,24,文献X
17,文献Q,1,文献A
17,文献Q,18,文献R
17,文献Q,20,文献T
17,文献Q,22,文献V
17,文献Q,8,文献H
18,文献R,11,文献K
18,文献R,23,文献W
18,文献R,13,文献M
18,文献R,26,文献Z
18,文献R,5,文献E
19,文献S,2,文献B
19,文献S,16,文献P
19,文献S,14,文献N
19,文献S,20,文献T
20,文献T,1,文献A
20,文献T,3,文献C
20,文献T,2,文献B
20,文献T,9,文献I
20,文献T,10,文献J
21,文献U,10,文献J
21,文献U,17,文献Q
21,文献U,8,文献H
21,文献U,23,文献W
21,文献U,14,文献N
21,文献U,1,文献A
22,文献V,14,文献N
22,文献V,13,文献M
22,文献V,20,文献T
22,文献V,18,文献R
22,文献V,11,文献K
22,文献V,9,文献I
22,文献V,1,文献A
22,文献V,24,文献X
22,文献V,17,文献Q
23,文献W,7,文献G
23,文献W,17,文献Q
23,文献W,16,文献P
24,文献X,1,文献A
24,文献X,15,文献O
25,文献Y,18,文献R
25,文献Y,24,文献X
25,文献Y,20,文献T
26,文献Z,11,文献K
26,文献Z,22,文献V
26,文献Z,10,文献J
