node_id,title,author,year,translator,original_work,publisher,publication_detail,others
1,文献A,著者A,1970,翻訳者A,文献A(原著),A社,A掲載雑誌、シリーズ,Aその他
2,文献B,著者B,1972,翻訳者B,文献B(原著),B社,B掲載雑誌、シリーズ,Bその他
3,文献C,著者C,1974,翻訳者C,文献C(原著),C社,C掲載雑誌、シリーズ,Cその他
4,文献D,著者D,1976,翻訳者D,文献D(原著),D社,D掲載雑誌、シリーズ,Dその他
5,文献E,著者E,1978,翻訳者E,文献E(原著),E社,E掲載雑誌、シリーズ,Eその他
6,文献F,著者F,1980,翻訳者F,文献F(原著),F社,F掲載雑誌、シリーズ,Fその他
7,文献G,著者G,1982,翻訳者G,文献G(原著),G社,G掲載雑誌、シリーズ,Gその他
8,文献H,著者H,1984,翻訳者H,文献H(原著),H社,H掲載雑誌、シリーズ,Hその他
9,文献I,著者I,1986,翻訳者I,文献I(原著),I社,I掲載雑誌、シリーズ,Iその他
10,文献J,著者J,1988,翻訳者J,文献J(原著),J社,J掲載雑誌、シリーズ,Jその他
11,文献K,著者K,1990,翻訳者K,文献K(原著),K社,K掲載雑誌、シリーズ,Kその他
12,文献L,著者L,1992,翻訳者L,文献L(原著),L社,L掲載雑誌、シリーズ,Lその他
13,文献M,著者M,1994,翻訳者M,文献M(原著),M社,M掲載雑誌、シリーズ,Mその他
14,文献N,著者N,1996,翻訳者N,文献N(原著),N社,N掲載雑誌、シリーズ,Nその他
15,文献O,著者O,1998,翻訳者O,文献O(原著),O社,O掲載雑誌、シリーズ,Oその他
16,文献P,著者P,2000,翻訳者P,文献P(原著),P社,P掲載雑誌、シリーズ,Pその他
17,文献Q,著者Q,2002,翻訳者Q,文献Q(原著),Q社,Q掲載雑誌、シリーズ,Qその他
18,文献R,著者R,2004,翻訳者R,文献R(原著),R社,R掲載雑誌、シリーズ,Rその他
19,文献S,著者S,2006,翻訳者S,文献S(原著),S社,S掲載雑誌、シリーズ,Sその他
20,文献T,著者T,2008,翻訳者T,文献T(原著),T社,T掲載雑誌、シリーズ,Tその他
21,文献U,著者U,2010,翻訳者U,文献U(原著),U社,U掲載雑誌、シリーズ,Uその他
22,文献V,著者V,2012,翻訳者V,文献V(原著),V社,V掲載雑誌、シリーズ,Vその他
23,文献W,著者W,2014,翻訳者W,文献W(原著),W社,W掲載雑誌、シリーズ,Wその他
24,文献X,著者X,2016,翻訳者X,文献X(原著),X社,X掲載雑誌、シリーズ,Xその他
25,文献Y,著者Y,2018,翻訳者Y,文献Y(原著),Y社,Y掲載雑誌、シリーズ,Yその他
26,文献Z,著者Z,2020,翻訳者Z,文献Z(原著),Z社,Z掲載雑誌、シリーズ,Zその他
